MONTH,pct_ontime_arr,system_state
1,84.07483458818162,STABLE
2,84.61714285714285,STABLE
3,83.45269506219374,STABLE
4,81.84347181008901,STABLE
5,79.81271384837025,WARNING
6,74.01199717713479,WARNING
7,73.87074357192495,WARNING
8,79.37260623746124,WARNING
9,86.29154078549848,STABLE
10,81.55964943659453,STABLE
11,82.07179087007414,STABLE
12,76.45727221279004,WARNING
